property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type,photo_count,request_day_within_8d,request_day_within_3d
ff8080814702d3d10147068359d200cd,BHK2,07-03-2017 12:02,2,4,11.0,SEMI_FURNISHED,1,13.0184435,77.6781215,FAMILY,1,Ramamurthy Nagar,BOTH,1,1233,1,560016.0,20000,150000,AP,0,6.0,3.0
ff808081470c645401470fb03f5800a6,BHK2,10-03-2017 13:43,2,0,4.0,NOT_FURNISHED,1,12.9750721,77.665865,ANYONE,1,GM Palya,FOUR_WHEELER,0,1200,0,560075.0,15000,75000,AP,12,23.0,15.0
ff808081474aa867014771a0298f0aa6,BHK1,15-03-2017 18:29,1,1,2.0,SEMI_FURNISHED,0,12.99024289,77.71296243,ANYONE,0,Hoodi,BOTH,4,450,0,560048.0,6500,40000,IF,7,56.0,25.0
ff8080814780f308014797c79000082e,BHK2,06-03-2017 21:30,1,1,3.0,SEMI_FURNISHED,1,12.93022886,77.63331054,BACHELOR,1,Koramangala,TWO_WHEELER,5,600,1,560034.0,20000,100000,IF,5,3.0,2.0
ff80808147a95f0a0147ab0d88fa0080,BHK2,05-03-2017 18:12,2,0,5.0,SEMI_FURNISHED,1,12.99250871,77.65895736,ANYONE,1,Bennigana Halli,BOTH,18,800,1,560016.0,18000,120000,AP,6,4.0,3.0
ff80808147cbdc2a0147cf8577880153,BHK2,12-03-2017 11:21,1,1,2.0,NOT_FURNISHED,1,12.95865423,77.7172075,ANYONE,0,Kundalahalli,TWO_WHEELER,8,600,0,560037.0,12000,40000,AP,3,14.0,5.0
ff80808147ed5e680147f326ca4c02d2,RK1,07-02-2017 16:10,2,3,3.0,SEMI_FURNISHED,0,12.98343008,77.64337632,BACHELOR,0,Indira Nagar,TWO_WHEELER,10,200,0,560038.0,6500,20000,IF,0,14.0,7.0
ff80808147ed5e680147f5206d970403,BHK3,28-02-2017 15:58,3,4,4.0,SEMI_FURNISHED,1,13.1129006,77.5695336,ANYONE,1,Yelahanka New Town,BOTH,4,1521,1,560064.0,19000,150000,AP,6,1.0,0.0
ff80808147ed5e6801480d0144220ec4,BHK3,06-03-2017 16:24,4,6,12.0,SEMI_FURNISHED,1,13.11830253,77.57832128,ANYONE,1,Yelahanka,BOTH,9,1965,1,560064.0,27500,275000,AP,6,2.0,1.0
ff80808147ed5e68014810c42dba0ff0,BHK2,08-03-2017 17:57,2,2,4.0,SEMI_FURNISHED,1,12.9657141,77.7208579,FAMILY,1,Brookefield,BOTH,3,1100,0,560037.0,17000,50000,AP,1,27.0,24.0
